| Index |       Eigenvalue      |         Residual      |
|-------|-----------------------|-----------------------|
|     1 |  -1.001999002244e+03  |   1.042570419715e-11  |
|     2 |  -9.999980029909e+02  |   6.316667168853e-02  |
|     3 |  -9.979970022373e+02  |   8.933116379098e-02  |
|     4 |  -9.959959999785e+02  |   1.094078845456e-01  |
|     5 |  -9.939949962100e+02  |   1.263333430788e-01  |
|     6 |  -9.919939909270e+02  |   1.412449711278e-01  |
|     7 |  -9.899929841250e+02  |   1.547261131919e-01  |
|     8 |  -9.879919757995e+02  |   1.671233025701e-01  |
|     9 |  -9.859909659459e+02  |   1.786623248633e-01  |
|    10 |  -9.839899545593e+02  |   1.895000112108e-01  |
|    11 |  -9.819889416353e+02  |   1.997505497124e-01  |
|    12 |  -9.799879271694e+02  |   2.095001424925e-01  |
|    13 |  -9.779869111559e+02  |   2.188157610601e-01  |
|    14 |  -9.759858935915e+02  |   2.277506631709e-01  |
|    15 |  -9.739848744710e+02  |   2.363480307453e-01  |
|    16 |  -9.719838537870e+02  |   2.446434522180e-01  |
|    17 |  -9.699828315425e+02  |   2.526666681523e-01  |
|    18 |  -9.679818077187e+02  |   2.604428377412e-01  |
|    19 |  -9.659807823290e+02  |   2.679934661878e-01  |
|    20 |  -9.639797553514e+02  |   2.753371092188e-01  |
|    21 |  -9.619787267901e+02  |   2.824899098102e-01  |
|    22 |  -9.599776966463e+02  |   2.894660167097e-01  |
|    23 |  -9.579766648862e+02  |   2.962779087885e-01  |
|    24 |  -9.559756315604e+02  |   3.029366665561e-01  |
|    25 |  -9.539745965897e+02  |   3.094521741784e-01  |
|    26 |  -9.519735600408e+02  |   3.158332980766e-01  |
|    27 |  -9.499725218638e+02  |   3.220880226869e-01  |
|    28 |  -9.479714820552e+02  |   3.282235813082e-01  |
|    29 |  -9.459704406546e+02  |   3.342465244411e-01  |
|    30 |  -9.439693975763e+02  |   3.401628481910e-01  |
|    31 |  -9.419683529172e+02  |   3.459780101955e-01  |
|    32 |  -9.399673065597e+02  |   3.516970357106e-01  |
|    33 |  -9.379662586067e+02  |   3.573245365015e-01  |
|    34 |  -9.359652089672e+02  |   3.628647764833e-01  |
|    35 |  -9.339641577083e+02  |   3.683216838442e-01  |
|    36 |  -9.319631047173e+02  |   3.736989212200e-01  |
